id,state,retirementIncome,county
1001,1,0.1473,Autauga County
1003,1,0.1478,Baldwin County
1005,1,0.1338,Barbour County
1007,1,0.1050,Bibb County
1009,1,0.1199,Blount County
1011,1,0.1209,Bullock County
1013,1,0.1213,Butler County
1015,1,0.1685,Calhoun County
1017,1,0.1137,Chambers County
1019,1,0.1705,Cherokee County
1021,1,0.1121,Chilton County
1023,1,0.1292,Choctaw County
1025,1,0.1160,Clarke County
1027,1,0.1424,Clay County
1029,1,0.1159,Cleburne County
1031,1,0.1746,Coffee County
1033,1,0.1535,Colbert County
1035,1,0.1366,Conecuh County
1037,1,0.1496,Coosa County
1039,1,0.1331,Covington County
1041,1,0.1236,Crenshaw County
1043,1,0.1171,Cullman County
1045,1,0.1728,Dale County
1047,1,0.1174,Dallas County
1049,1,0.1180,DeKalb County
1051,1,0.1593,Elmore County
1053,1,0.1278,Escambia County
1055,1,0.1365,Etowah County
1057,1,0.1364,Fayette County
1059,1,0.1167,Franklin County
1061,1,0.1581,Geneva County
1063,1,0.1324,Greene County
1065,1,0.1318,Hale County
1067,1,0.1529,Henry County
1069,1,0.1223,Houston County
1071,1,0.1375,Jackson County
1073,1,0.0940,Jefferson County
1075,1,0.1291,Lamar County
1077,1,0.1547,Lauderdale County
1079,1,0.1409,Lawrence County
1081,1,0.1186,Lee County
1083,1,0.1396,Limestone County
1085,1,0.1255,Lowndes County
1087,1,0.1848,Macon County
1089,1,0.1426,Madison County
1091,1,0.1285,Marengo County
1093,1,0.1284,Marion County
1095,1,0.1413,Marshall County
1097,1,0.1077,Mobile County
1099,1,0.1282,Monroe County
1101,1,0.1408,Montgomery County
1103,1,0.1409,Morgan County
1105,1,0.1395,Perry County
1107,1,0.1285,Pickens County
1109,1,0.1325,Pike County
1111,1,0.1384,Randolph County
1113,1,0.1259,Russell County
1115,1,0.1162,St. Clair County
1117,1,0.0889,Shelby County
1119,1,0.1353,Sumter County
1121,1,0.1329,Talladega County
1123,1,0.1521,Tallapoosa County
1125,1,0.1162,Tuscaloosa County
1127,1,0.1191,Walker County
1129,1,0.1224,Washington County
1131,1,0.1244,Wilcox County
1133,1,0.1238,Winston County
2013,2,0.0309,Aleutians East Borough
2016,2,0.0456,Aleutians West Census Area
2020,2,0.0889,Anchorage Municipality
2050,2,0.0541,Bethel Census Area
2060,2,0.0828,Bristol Bay Borough
2068,2,0.1193,Denali Borough
2070,2,0.0706,Dillingham Census Area
2090,2,0.1152,Fairbanks North Star Borough
2100,2,0.1501,Haines Borough
2105,2,0.1248,Hoonah-Angoon Census Area
2110,2,0.1324,Juneau City and Borough
2122,2,0.1239,Kenai Peninsula Borough
2130,2,0.1101,Ketchikan Gateway Borough
2150,2,0.0824,Kodiak Island Borough
2164,2,0.0543,Lake and Peninsula Borough
2170,2,0.1119,Matanuska-Susitna Borough
2180,2,0.0713,Nome Census Area
2185,2,0.0569,North Slope Borough
2188,2,0.0548,Northwest Arctic Borough
2195,2,0.1206,Petersburg Census Area
2198,2,0.1024,Prince of Wales-Hyder Census Area
2220,2,0.1171,Sitka City and Borough
2230,2,0.0697,Skagway Municipality
2240,2,0.1467,Southeast Fairbanks Census Area
2261,2,0.1067,Valdez-Cordova Census Area
2270,2,0.0408,Wade Hampton Census Area
2275,2,0.1278,Wrangell City and Borough
2282,2,0.1044,Yakutat City and Borough
2290,2,0.1120,Yukon-Koyukuk Census Area
4001,4,0.1373,Apache County
4003,4,0.2172,Cochise County
4005,4,0.1148,Coconino County
4007,4,0.2210,Gila County
4009,4,0.1274,Graham County
4011,4,0.0781,Greenlee County
4012,4,0.2060,La Paz County
4013,4,0.0994,Maricopa County
4015,4,0.2216,Mohave County
4017,4,0.1697,Navajo County
4019,4,0.1523,Pima County
4021,4,0.1666,Pinal County
4023,4,0.1154,Santa Cruz County
4025,4,0.2338,Yavapai County
4027,4,0.1140,Yuma County
5001,5,0.0952,Arkansas County
5003,5,0.1191,Ashley County
5005,5,0.2166,Baxter County
5007,5,0.0577,Benton County
5009,5,0.1383,Boone County
5011,5,0.1309,Bradley County
5013,5,0.1309,Calhoun County
5015,5,0.1670,Carroll County
5017,5,0.1227,Chicot County
5019,5,0.1536,Clark County
5021,5,0.1302,Clay County
5023,5,0.1736,Cleburne County
5025,5,0.1337,Cleveland County
5027,5,0.1105,Columbia County
5029,5,0.1185,Conway County
5031,5,0.0939,Craighead County
5033,5,0.1076,Crawford County
5035,5,0.0888,Crittenden County
5037,5,0.1009,Cross County
5039,5,0.1396,Dallas County
5041,5,0.1203,Desha County
5043,5,0.1093,Drew County
5045,5,0.1027,Faulkner County
5047,5,0.1362,Franklin County
5049,5,0.1906,Fulton County
5051,5,0.1714,Garland County
5053,5,0.1259,Grant County
5055,5,0.1051,Greene County
5057,5,0.1188,Hempstead County
5059,5,0.1428,Hot Spring County
5061,5,0.1115,Howard County
5063,5,0.1065,Independence County
5065,5,0.2009,Izard County
5067,5,0.1095,Jackson County
5069,5,0.1527,Jefferson County
5071,5,0.1160,Johnson County
5073,5,0.1170,Lafayette County
5075,5,0.1236,Lawrence County
5077,5,0.1009,Lee County
5079,5,0.1193,Lincoln County
5081,5,0.1385,Little River County
5083,5,0.1237,Logan County
5085,5,0.1177,Lonoke County
5087,5,0.1031,Madison County
5089,5,0.2240,Marion County
