FIPS,name,AVGhmid
1001,"Autauga County, AL",1468
1003,"Baldwin County, AL",1703
1005,"Barbour County, AL",765
1007,"Bibb County, AL",824
1009,"Blount County, AL",1101
1011,"Bullock County, AL",518
1013,"Butler County, AL",605
1015,"Calhoun County, AL",932
1017,"Chambers County, AL",695
1019,"Cherokee County, AL",877
1021,"Chilton County, AL",896
1023,"Choctaw County, AL",684
1025,"Clarke County, AL",808
1027,"Clay County, AL",669
1029,"Cleburne County, AL",956
1031,"Coffee County, AL",1298
1033,"Colbert County, AL",989
1035,"Conecuh County, AL",497
1037,"Coosa County, AL",676
1039,"Covington County, AL",825
1041,"Crenshaw County, AL",631
1043,"Cullman County, AL",1054
1045,"Dale County, AL",798
1047,"Dallas County, AL",634
1049,"DeKalb County, AL",645
1051,"Elmore County, AL",1687
1053,"Escambia County, AL",679
1055,"Etowah County, AL",1014
1057,"Fayette County, AL",619
1059,"Franklin County, AL",533
1061,"Geneva County, AL",657
1063,"Greene County, AL",426
1065,"Hale County, AL",630
1067,"Henry County, AL",1003
1069,"Houston County, AL",1236
1071,"Jackson County, AL",711
1073,"Jefferson County, AL",1845
1075,"Lamar County, AL",495
1077,"Lauderdale County, AL",1054
1079,"Lawrence County, AL",739
1081,"Lee County, AL",1773
1083,"Limestone County, AL",1818
1085,"Lowndes County, AL",684
1087,"Macon County, AL",617
1089,"Madison County, AL",1978
1091,"Marengo County, AL",794
1093,"Marion County, AL",553
1095,"Marshall County, AL",954
1097,"Mobile County, AL",1195
1099,"Monroe County, AL",652
1101,"Montgomery County, AL",1441
1103,"Morgan County, AL",1126
1105,"Perry County, AL",395
1107,"Pickens County, AL",635
1109,"Pike County, AL",850
1111,"Randolph County, AL",858
1113,"Russell County, AL",1003
1115,"St. Clair County, AL",1659
1117,"Shelby County, AL",2769
1119,"Sumter County, AL",538
1121,"Talladega County, AL",953
1123,"Tallapoosa County, AL",1108
1125,"Tuscaloosa County, AL",1500
1127,"Walker County, AL",810
1129,"Washington County, AL",733
1131,"Wilcox County, AL",488
1133,"Winston County, AL",805
2013,"Aleutians East Bor, AK",262
2016,"Aleutians West Cen, AK",562
2020,"Anchorage Municipa, AK",2310
2050,"Bethel Census Area, AK",315
2060,"Bristol Bay Boroug, AK",470
2068,"Denali Borough, AK",763
2070,"Dillingham Census, AK",349
2090,"Fairbanks North St, AK",1280
2100,"Haines Borough, AK",792
2105,"Hoonah-Angoon Cens, AK",341
2110,"Juneau City and Bo, AK",2120
2122,"Kenai Peninsula Bo, AK",1361
2130,"Ketchikan Gateway, AK",1564
2150,"Kodiak Island Boro, AK",1537
2158,"Kusilvak Census Ar, AK",53
2164,"Lake and Peninsula, AK",0
2170,"Matanuska-Susitna, AK",2074
2180,"Nome Census Area, AK",510
2185,"North Slope Boroug, AK",366
2188,"Northwest Arctic B, AK",331
2195,"Petersburg Census, AK",870
2198,"Prince of Wales-Hy, AK",551
2220,"Sitka City and Bor, AK",1517
2230,"Skagway Municipali, AK",962
2240,"Southeast Fairbank, AK",647
2261,"Valdez-Cordova Cen, AK",954
2275,"Wrangell City and, AK",764
2282,"Yakutat City and B, AK",0
2290,"Yukon-Koyukuk Cens, AK",118
4001,"Apache County, AZ",364
4003,"Cochise County, AZ",1359
4005,"Coconino County, AZ",1777
4007,"Gila County, AZ",1311
4009,"Graham County, AZ",1272
4011,"Greenlee County, AZ",385
4012,"La Paz County, AZ",719
4013,"Maricopa County, AZ",2223
4015,"Mohave County, AZ",1293
4017,"Navajo County, AZ",959
4019,"Pima County, AZ",1747
4021,"Pinal County, AZ",1591
4023,"Santa Cruz County, AZ",1039
4025,"Yavapai County, AZ",1791
4027,"Yuma County, AZ",975
5001,"Arkansas County, AR",630
5003,"Ashley County, AR",514
5005,"Baxter County, AR",884
5007,"Benton County, AR",1804
5009,"Boone County, AR",809
5011,"Bradley County, AR",408
5013,"Calhoun County, AR",390
5015,"Carroll County, AR",714
5017,"Chicot County, AR",444
5019,"Clark County, AR",654
5021,"Clay County, AR",347
5023,"Cleburne County, AR",914
5025,"Cleveland County, AR",675
5027,"Columbia County, AR",873
5029,"Conway County, AR",688
5031,"Craighead County, AR",1169
5033,"Crawford County, AR",878
5035,"Crittenden County, AR",944
5037,"Cross County, AR",671
5039,"Dallas County, AR",344
5041,"Desha County, AR",327
5043,"Drew County, AR",670
5045,"Faulkner County, AR",1431
5047,"Franklin County, AR",592
