fips,name,tax
1001,"Autauga County, Alabama",441
1003,"Baldwin County, Alabama",590
1005,"Barbour County, Alabama",314
1007,"Bibb County, Alabama",247
1009,"Blount County, Alabama",417
1011,"Bullock County, Alabama",288
1013,"Butler County, Alabama",328
1015,"Calhoun County, Alabama",444
1017,"Chambers County, Alabama",344
1019,"Cherokee County, Alabama",402
1021,"Chilton County, Alabama",391
1023,"Choctaw County, Alabama",200
1025,"Clarke County, Alabama",268
1027,"Clay County, Alabama",265
1029,"Cleburne County, Alabama",426
1031,"Coffee County, Alabama",529
1033,"Colbert County, Alabama",378
1035,"Conecuh County, Alabama",306
1037,"Coosa County, Alabama",261
1039,"Covington County, Alabama",307
1041,"Crenshaw County, Alabama",277
1043,"Cullman County, Alabama",353
1045,"Dale County, Alabama",386
1047,"Dallas County, Alabama",358
1049,"DeKalb County, Alabama",334
1051,"Elmore County, Alabama",428
1053,"Escambia County, Alabama",377
1055,"Etowah County, Alabama",429
1057,"Fayette County, Alabama",234
1059,"Franklin County, Alabama",287
1061,"Geneva County, Alabama",287
1063,"Greene County, Alabama",250
1065,"Hale County, Alabama",326
1067,"Henry County, Alabama",342
1069,"Houston County, Alabama",419
1071,"Jackson County, Alabama",339
1073,"Jefferson County, Alabama",912
1075,"Lamar County, Alabama",200
1077,"Lauderdale County, Alabama",545
1079,"Lawrence County, Alabama",330
1081,"Lee County, Alabama",802
1083,"Limestone County, Alabama",487
1085,"Lowndes County, Alabama",325
1087,"Macon County, Alabama",368
1089,"Madison County, Alabama",763
1091,"Marengo County, Alabama",283
1093,"Marion County, Alabama",251
1095,"Marshall County, Alabama",476
1097,"Mobile County, Alabama",680
1099,"Monroe County, Alabama",247
1101,"Montgomery County, Alabama",484
1103,"Morgan County, Alabama",483
1105,"Perry County, Alabama",206
1107,"Pickens County, Alabama",285
1109,"Pike County, Alabama",355
1111,"Randolph County, Alabama",304
1113,"Russell County, Alabama",523
1115,"St. Clair County, Alabama",454
1117,"Shelby County, Alabama",978
1119,"Sumter County, Alabama",260
1121,"Talladega County, Alabama",372
1123,"Tallapoosa County, Alabama",355
1125,"Tuscaloosa County, Alabama",586
1127,"Walker County, Alabama",270
1129,"Washington County, Alabama",243
1131,"Wilcox County, Alabama",287
1133,"Winston County, Alabama",261
2013,"Aleutians East Borough, Alaska",7500
2016,"Aleutians West Census Area, Alaska",2478
2020,"Anchorage Municipality, Alaska",3882
2050,"Bethel Census Area, Alaska",1298
2060,"Bristol Bay Borough, Alaska",1963
2068,"Denali Borough, Alaska",200
2070,"Dillingham Census Area, Alaska",2455
2090,"Fairbanks North Star Borough, Alaska",2822
2100,"Haines Borough, Alaska",1535
2105,"Hoonah-Angoon Census Area, Alaska",1986
2110,"Juneau City and Borough, Alaska",2884
2122,"Kenai Peninsula Borough, Alaska",1546
2130,"Ketchikan Gateway Borough, Alaska",2123
2150,"Kodiak Island Borough, Alaska",2375
2164,"Lake and Peninsula Borough, Alaska",-
2170,"Matanuska-Susitna Borough, Alaska",2613
2180,"Nome Census Area, Alaska",1597
2185,"North Slope Borough, Alaska",2183
2188,"Northwest Arctic Borough, Alaska",1841
2195,"Petersburg Borough, Alaska",1929
2198,"Prince of Wales-Hyder Census Area, Alaska",1283
2220,"Sitka City and Borough, Alaska",1719
2230,"Skagway Municipality, Alaska",1704
2240,"Southeast Fairbanks Census Area, Alaska",1727
2261,"Valdez-Cordova Census Area, Alaska",2117
2270,"Wade Hampton Census Area, Alaska",2417
2275,"Wrangell City and Borough, Alaska",1165
2282,"Yakutat City and Borough, Alaska",1133
2290,"Yukon-Koyukuk Census Area, Alaska",369
4001,"Apache County, Arizona",627
4003,"Cochise County, Arizona",1088
4005,"Coconino County, Arizona",1400
4007,"Gila County, Arizona",1087
4009,"Graham County, Arizona",746
4011,"Greenlee County, Arizona",357
4012,"La Paz County, Arizona",812
4013,"Maricopa County, Arizona",1408
4015,"Mohave County, Arizona",896
4017,"Navajo County, Arizona",861
4019,"Pima County, Arizona",1701
4021,"Pinal County, Arizona",1280
4023,"Santa Cruz County, Arizona",1208
4025,"Yavapai County, Arizona",1316
4027,"Yuma County, Arizona",961
5001,"Arkansas County, Arkansas",422
5003,"Ashley County, Arkansas",371
5005,"Baxter County, Arkansas",653
5007,"Benton County, Arkansas",1102
5009,"Boone County, Arkansas",583
5011,"Bradley County, Arkansas",396
5013,"Calhoun County, Arkansas",348
5015,"Carroll County, Arkansas",742
5017,"Chicot County, Arkansas",394
5019,"Clark County, Arkansas",485
5021,"Clay County, Arkansas",393
5023,"Cleburne County, Arkansas",527
5025,"Cleveland County, Arkansas",478
5027,"Columbia County, Arkansas",479
5029,"Conway County, Arkansas",472
5031,"Craighead County, Arkansas",698
5033,"Crawford County, Arkansas",654
5035,"Crittenden County, Arkansas",682
5037,"Cross County, Arkansas",437
