STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,TOTAL_SALT,LIMITED_SALT,FIPS_COMBINED
51,VA,107,Loudoun County,5950.86,3040.73,51107
51,VA,610,Falls Church city,8315.89,2982.84,51610
6,CA,41,Marin County,15851.31,2804.20,6041
24,MD,27,Howard County,6206.44,2719.37,24027
24,MD,17,Charles County,3918.14,2588.10,24017
51,VA,59,Fairfax County,5856.39,2523.91,51059
24,MD,9,Calvert County,4120.95,2445.10,24009
51,VA,600,Fairfax city,4310.93,2390.54,51600
24,MD,31,Montgomery County,6236.71,2268.08,24031
6,CA,13,Contra Costa County,6977.19,2230.28,6013
24,MD,35,Queen Anne's County,4333.37,2201.04,24035
51,VA,510,Alexandria city,4963.81,2199.61,51510
6,CA,81,San Mateo County,13747.38,2198.72,6081
24,MD,3,Anne Arundel County,4204.06,2176.79,24003
34,NJ,27,Morris County,7396.94,2167.18,34027
51,VA,13,Arlington County,5364.85,2157.76,51013
36,NY,59,Nassau County,7180.37,2143.57,36059
51,VA,61,Fauquier County,4026.24,2137.39,51061
34,NJ,19,Hunterdon County,5966.12,2129.93,34019
51,VA,153,Prince William Count,3227.28,2108.11,51153
49,UT,29,Morgan County,3324.49,2096.53,49029
6,CA,61,Placer County,4787.55,2091.31,6061
24,MD,21,Frederick County,3666.88,2082.27,24021
24,MD,33,Prince George's Coun,3077.66,2069.59,24033
6,CA,85,Santa Clara County,10807.17,2061.66,6085
24,MD,13,Carroll County,3483.03,2042.85,24013
34,NJ,35,Somerset County,6688.47,2040.35,34035
8,CO,35,Douglas County,3512.22,2014.61,8035
36,NY,119,Westchester County,10668.11,2013.69,36119
49,UT,43,Summit County,6933.02,2006.07,49043
9,CT,1,Fairfield County,9877.48,1995.12,9001
34,NJ,25,Monmouth County,5654.26,1990.82,34025
51,VA,179,Stafford County,2839.91,1957.71,51179
24,MD,37,St. Mary's County,3095.44,1942.88,24037
34,NJ,3,Bergen County,6561.86,1935.49,34003
24,MD,0,Maryland,3803.44,1887.67,24000
6,CA,17,El Dorado County,4436.27,1880.31,6017
51,VA,75,Goochland County,5657.05,1874.85,51075
13,GA,117,Forsyth County,3340.57,1869.76,13117
6,CA,1,Alameda County,5489.91,1854.34,6001
36,NY,79,Putnam County,4450.50,1831.40,36079
36,NY,87,Rockland County,5077.22,1805.78,36087
6,CA,59,Orange County,5433.82,1797.49,6059
6,CA,69,San Benito County,3138.17,1781.77,6069
24,MD,25,Harford County,3018.63,1778.84,24025
25,MA,21,Norfolk County,5433.69,1769.97,25021
