county,state,value,name
48059,48,109.4091904,"Abilene, TX"
48253,48,109.4091904,"Abilene, TX"
48441,48,109.4091904,"Abilene, TX"
39133,39,110.9877913,"Akron, OH"
39153,39,110.9877913,"Akron, OH"
1000,1,124.2236025,Alabama (Nonmetropolitan Area)
1005,1,124.2236025,Alabama (Nonmetropolitan Area)
1011,1,124.2236025,Alabama (Nonmetropolitan Area)
1013,1,124.2236025,Alabama (Nonmetropolitan Area)
1017,1,124.2236025,Alabama (Nonmetropolitan Area)
1019,1,124.2236025,Alabama (Nonmetropolitan Area)
1023,1,124.2236025,Alabama (Nonmetropolitan Area)
1025,1,124.2236025,Alabama (Nonmetropolitan Area)
1027,1,124.2236025,Alabama (Nonmetropolitan Area)
1029,1,124.2236025,Alabama (Nonmetropolitan Area)
1031,1,124.2236025,Alabama (Nonmetropolitan Area)
1035,1,124.2236025,Alabama (Nonmetropolitan Area)
1037,1,124.2236025,Alabama (Nonmetropolitan Area)
1039,1,124.2236025,Alabama (Nonmetropolitan Area)
1041,1,124.2236025,Alabama (Nonmetropolitan Area)
1043,1,124.2236025,Alabama (Nonmetropolitan Area)
1045,1,124.2236025,Alabama (Nonmetropolitan Area)
1047,1,124.2236025,Alabama (Nonmetropolitan Area)
1049,1,124.2236025,Alabama (Nonmetropolitan Area)
1053,1,124.2236025,Alabama (Nonmetropolitan Area)
1057,1,124.2236025,Alabama (Nonmetropolitan Area)
1059,1,124.2236025,Alabama (Nonmetropolitan Area)
1063,1,124.2236025,Alabama (Nonmetropolitan Area)
1071,1,124.2236025,Alabama (Nonmetropolitan Area)
1075,1,124.2236025,Alabama (Nonmetropolitan Area)
1087,1,124.2236025,Alabama (Nonmetropolitan Area)
1091,1,124.2236025,Alabama (Nonmetropolitan Area)
1093,1,124.2236025,Alabama (Nonmetropolitan Area)
1095,1,124.2236025,Alabama (Nonmetropolitan Area)
1099,1,124.2236025,Alabama (Nonmetropolitan Area)
1105,1,124.2236025,Alabama (Nonmetropolitan Area)
1109,1,124.2236025,Alabama (Nonmetropolitan Area)
1111,1,124.2236025,Alabama (Nonmetropolitan Area)
1119,1,124.2236025,Alabama (Nonmetropolitan Area)
1121,1,124.2236025,Alabama (Nonmetropolitan Area)
1123,1,124.2236025,Alabama (Nonmetropolitan Area)
1129,1,124.2236025,Alabama (Nonmetropolitan Area)
1131,1,124.2236025,Alabama (Nonmetropolitan Area)
1133,1,124.2236025,Alabama (Nonmetropolitan Area)
2000,2,98.81422925,Alaska (Nonmetropolitan Area)
2013,2,98.81422925,Alaska (Nonmetropolitan Area)
2016,2,98.81422925,Alaska (Nonmetropolitan Area)
2050,2,98.81422925,Alaska (Nonmetropolitan Area)
2060,2,98.81422925,Alaska (Nonmetropolitan Area)
2068,2,98.81422925,Alaska (Nonmetropolitan Area)
2070,2,98.81422925,Alaska (Nonmetropolitan Area)
2100,2,98.81422925,Alaska (Nonmetropolitan Area)
2105,2,98.81422925,Alaska (Nonmetropolitan Area)
2110,2,98.81422925,Alaska (Nonmetropolitan Area)
2122,2,98.81422925,Alaska (Nonmetropolitan Area)
2130,2,98.81422925,Alaska (Nonmetropolitan Area)
2150,2,98.81422925,Alaska (Nonmetropolitan Area)
2158,2,98.81422925,Alaska (Nonmetropolitan Area)
2164,2,98.81422925,Alaska (Nonmetropolitan Area)
2180,2,98.81422925,Alaska (Nonmetropolitan Area)
2185,2,98.81422925,Alaska (Nonmetropolitan Area)
2188,2,98.81422925,Alaska (Nonmetropolitan Area)
2198,2,98.81422925,Alaska (Nonmetropolitan Area)
2201,2,98.81422925,Alaska (Nonmetropolitan Area)
2220,2,98.81422925,Alaska (Nonmetropolitan Area)
2231,2,98.81422925,Alaska (Nonmetropolitan Area)
2232,2,98.81422925,Alaska (Nonmetropolitan Area)
2240,2,98.81422925,Alaska (Nonmetropolitan Area)
2261,2,98.81422925,Alaska (Nonmetropolitan Area)
2270,2,98.81422925,Alaska (Nonmetropolitan Area)
2275,2,98.81422925,Alaska (Nonmetropolitan Area)
2280,2,98.81422925,Alaska (Nonmetropolitan Area)
2282,2,98.81422925,Alaska (Nonmetropolitan Area)
2290,2,98.81422925,Alaska (Nonmetropolitan Area)
13007,13,120.6272618,"Albany, GA"
13095,13,120.6272618,"Albany, GA"
13177,13,120.6272618,"Albany, GA"
13273,13,120.6272618,"Albany, GA"
13321,13,120.6272618,"Albany, GA"
41043,41,103.5196687,"Albany, OR"
36001,36,100.1001001,"Albany-Schenectady-Troy, NY"
36083,36,100.1001001,"Albany-Schenectady-Troy, NY"
36091,36,100.1001001,"Albany-Schenectady-Troy, NY"
36093,36,100.1001001,"Albany-Schenectady-Troy, NY"
36095,36,100.1001001,"Albany-Schenectady-Troy, NY"
35001,35,106.1571125,"Albuquerque, NM"
35043,35,106.1571125,"Albuquerque, NM"
35057,35,106.1571125,"Albuquerque, NM"
35061,35,106.1571125,"Albuquerque, NM"
22043,22,116.0092807,"Alexandria, LA"
22079,22,116.0092807,"Alexandria, LA"
34041,34,100.2004008,"Allentown-Bethlehem-Easton, PA-NJ"
42025,42,100.2004008,"Allentown-Bethlehem-Easton, PA-NJ"
42077,42,100.2004008,"Allentown-Bethlehem-Easton, PA-NJ"
42095,42,100.2004008,"Allentown-Bethlehem-Easton, PA-NJ"
42013,42,110.4972376,"Altoona, PA"
48011,48,108.4598698,"Amarillo, TX"
48065,48,108.4598698,"Amarillo, TX"
48359,48,108.4598698,"Amarillo, TX"
48375,48,108.4598698,"Amarillo, TX"
48381,48,108.4598698,"Amarillo, TX"
19169,19,109.2896175,"Ames, IA"
2020,2,93.37068161,"Anchorage, AK"
2170,2,93.37068161,"Anchorage, AK"
26161,26,98.81422925,"Ann Arbor, MI"
1015,1,120.3369434,"Anniston-Oxford-Jacksonville, AL"
55015,55,111.3585746,"Appleton, WI"
55087,55,111.3585746,"Appleton, WI"
4000,4,119.9040767,Arizona (Nonmetropolitan Area)
4001,4,119.9040767,Arizona (Nonmetropolitan Area)
4007,4,119.9040767,Arizona (Nonmetropolitan Area)
4009,4,119.9040767,Arizona (Nonmetropolitan Area)
4011,4,119.9040767,Arizona (Nonmetropolitan Area)
4012,4,119.9040767,Arizona (Nonmetropolitan Area)
4017,4,119.9040767,Arizona (Nonmetropolitan Area)
4023,4,119.9040767,Arizona (Nonmetropolitan Area)
5000,5,124.0694789,Arkansas (Nonmetropolitan Area)
5001,5,124.0694789,Arkansas (Nonmetropolitan Area)
5003,5,124.0694789,Arkansas (Nonmetropolitan Area)
5005,5,124.0694789,Arkansas (Nonmetropolitan Area)
5009,5,124.0694789,Arkansas (Nonmetropolitan Area)
5011,5,124.0694789,Arkansas (Nonmetropolitan Area)
5013,5,124.0694789,Arkansas (Nonmetropolitan Area)
5015,5,124.0694789,Arkansas (Nonmetropolitan Area)
5017,5,124.0694789,Arkansas (Nonmetropolitan Area)
5019,5,124.0694789,Arkansas (Nonmetropolitan Area)
5021,5,124.0694789,Arkansas (Nonmetropolitan Area)
5023,5,124.0694789,Arkansas (Nonmetropolitan Area)
