state,id,deduction,county
1,1001,1067.243563,Autauga County
1,1003,1524.363677,Baldwin County
1,1005,745.183714,Barbour County
1,1007,781.375,Bibb County
1,1009,947.84189,Blount County
1,1011,538.9873418,Bullock County
1,1013,845.6654457,Butler County
1,1015,862.0380038,Calhoun County
1,1017,713.2659933,Chambers County
1,1019,857.7971647,Cherokee County
1,1021,785.395189,Chilton County
1,1023,894.2748092,Choctaw County
1,1025,963.2395732,Clarke County
1,1027,615.4676259,Clay County
1,1029,873.943662,Cleburne County
1,1031,1119.289827,Coffee County
1,1033,968.8185654,Colbert County
1,1035,553.5856574,Conecuh County
1,1037,585.9259259,Coosa County
1,1039,800.4635762,Covington County
1,1041,610.6712565,Crenshaw County
1,1043,894.4024206,Cullman County
1,1045,663.8423645,Dale County
1,1047,740.4040404,Dallas County
1,1049,668.8204358,DeKalb County
1,1051,1136.586774,Elmore County
1,1053,813.1432545,Escambia County
1,1055,1088.883599,Etowah County
1,1057,587.5,Fayette County
1,1059,659.0283401,Franklin County
1,1061,556.9066148,Geneva County
1,1063,624.137931,Greene County
1,1065,546.3338534,Hale County
1,1067,923.6879433,Henry County
1,1069,1217.288889,Houston County
1,1071,701.9690577,Jackson County
1,1073,2328.988635,Jefferson County
1,1075,582.8358209,Lamar County
1,1077,1169.688237,Lauderdale County
1,1079,667.3062731,Lawrence County
1,1081,1693.683172,Lee County
1,1083,1429.033127,Limestone County
1,1085,590.7815631,Lowndes County
1,1087,740.6593407,Macon County
1,1089,1934.724375,Madison County
1,1091,852.4590164,Marengo County
1,1093,652.6802218,Marion County
1,1095,906.7766497,Marshall County
1,1097,1250.765421,Mobile County
1,1099,720.0712589,Monroe County
1,1101,1302.534517,Montgomery County
1,1103,1142.993874,Morgan County
1,1105,391.7948718,Perry County
1,1107,661.752988,Pickens County
1,1109,815.4818325,Pike County
1,1111,790.0564972,Randolph County
1,1113,744.4223108,Russell County
1,1115,1243.587546,St. Clair County
1,1117,2714.652453,Shelby County
1,1119,633.9047619,Sumter County
1,1121,800.7294833,Talladega County
1,1123,984.7467274,Tallapoosa County
1,1125,1416.489362,Tuscaloosa County
1,1127,976.6692852,Walker County
1,1129,1043.030303,Washington County
1,1131,545.7380457,Wilcox County
1,1133,743.4023991,Winston County
2,2013,53.77358491,Aleutians East Borough
2,2016,314.7058824,Aleutians West Census Area
2,2020,1328.713774,Anchorage Municipality
2,2050,102,Bethel Census Area
2,2060,129.6296296,Bristol Bay Borough
2,2068,201.754386,Denali Borough
2,2070,226.8398268,Dillingham Census Area
2,2090,749.9579655,Fairbanks North Star Borough
2,2100,478.1021898,Haines Borough
2,2105,199.0909091,Hoonah-Angoon Census Area
2,2110,1198.584371,Juneau City and Borough
2,2122,783.869863,Kenai Peninsula Borough
2,2130,789.7260274,Ketchikan Gateway Borough
2,2150,996.1002786,Kodiak Island Borough
2,2164,0,Lake and Peninsula Borough
2,2170,1052.159852,Matanuska-Susitna Borough
2,2180,194.3589744,Nome Census Area
2,2185,210.8187135,North Slope Borough
2,2188,125,Northwest Arctic Borough
2,2195,634.1708543,Petersburg Census Area
2,2198,178.4232365,Prince of Wales-Hyder Census Area
2,2220,705.54371,Sitka City and Borough
2,2230,341.3333333,Skagway Municipality
2,2240,120.7831325,Southeast Fairbanks Census Area
2,2261,528.5992218,Valdez-Cordova Census Area
2,2270,14.83870968,Wade Hampton Census Area
2,2275,414.4144144,Wrangell City and Borough
2,2282,0,Yakutat City and Borough
2,2290,54.06360424,Yukon-Koyukuk Census Area
4,4001,355.1796157,Apache County
4,4003,1177.664877,Cochise County
4,4005,1518.033922,Coconino County
4,4007,1225.35014,Gila County
4,4009,1063.73913,Graham County
4,4011,568.8760807,Greenlee County
4,4012,777.6234568,La Paz County
4,4013,2106.435728,Maricopa County
4,4015,1067.923331,Mohave County
4,4017,824.5827815,Navajo County
4,4019,1830.237521,Pima County
4,4021,1285.075194,Pinal County
4,4023,1102.295918,Santa Cruz County
4,4025,1668.981155,Yavapai County
4,4027,890.902553,Yuma County
5,5001,1663.378545,Arkansas County
5,5003,1195.159386,Ashley County
5,5005,1351.923077,Baxter County
5,5007,4144.637316,Benton County
5,5009,1267.123288,Boone County
5,5011,919.630485,Bradley County
5,5013,850.5319149,Calhoun County
5,5015,991.8604651,Carroll County
5,5017,1210.663507,Chicot County
5,5019,1119.664269,Clark County
5,5021,795.3255426,Clay County
5,5023,1488.12616,Cleburne County
5,5025,1139.252336,Cleveland County
5,5027,1595.846995,Columbia County
5,5029,1337.470449,Conway County
5,5031,1934.552548,Craighead County
5,5033,1236.884211,Crawford County
5,5035,1369.854665,Crittenden County
5,5037,1243.034483,Cross County
5,5039,723.6486486,Dallas County
5,5041,1162.772277,Desha County
5,5043,1453.006993,Drew County
5,5045,2016.398183,Faulkner County
5,5047,1039.531479,Franklin County
5,5049,755.9164733,Fulton County
5,5051,1675.051879,Garland County
5,5053,1391.268759,Grant County
5,5055,1098.534584,Greene County
5,5057,659.3967517,Hempstead County
5,5059,942.7316294,Hot Spring County
5,5061,765.4054054,Howard County
5,5063,1302.884615,Independence County
5,5065,888.2226981,Izard County
5,5067,873.0639731,Jackson County
5,5069,1176.910516,Jefferson County
5,5071,875.5417957,Johnson County
5,5073,909.1254753,Lafayette County
5,5075,724.5954693,Lawrence County
5,5077,1448.397436,Lee County
5,5079,1011.138015,Lincoln County
5,5081,726.7068273,Little River County
5,5083,834.1578327,Logan County
5,5085,1741.186441,Lonoke County
5,5087,884.3295638,Madison County
5,5089,713.4069401,Marion County
5,5091,641.1363636,Miller County
5,5093,1091.174817,Mississippi County
5,5095,731.3291139,Monroe County
5,5097,667.721519,Montgomery County
5,5099,646.6472303,Nevada County
5,5101,561.5646259,Newton County
5,5103,1053.455285,Ouachita County
5,5105,947.6658477,Perry County
5,5107,900.2607562,Phillips County
5,5109,778.9346247,Pike County
5,5111,882.6815642,Poinsett County
5,5113,889.6238651,Polk County
5,5115,1543.914081,Pope County
5,5117,1036.227545,Prairie County
5,5119,3133.536118,Pulaski County
5,5121,952.7027027,Randolph County
5,5123,824.5972073,St. Francis County
5,5125,2071.046771,Saline County
5,5127,519.7530864,Scott County
5,5129,537.7104377,Searcy County
5,5131,1901.98939,Sebastian County
5,5133,649.5176849,Sevier County
5,5135,751.4285714,Sharp County
5,5137,797.6445396,Stone County
5,5139,2210.011377,Union County
5,5141,1113.464448,Van Buren County
5,5143,2252.380952,Washington County
5,5145,1477.39816,White County
5,5147,962.2775801,Woodruff County
5,5149,858.8092345,Yell County
6,6001,6118.726934,Alameda County
6,6003,2648.888889,Alpine County
6,6005,2864.622057,Amador County
6,6007,2429.052467,Butte County
6,6009,3119.205298,Calaveras County
6,6011,2242.978723,Colusa County
6,6013,8104.158783,Contra Costa County
6,6015,1700.212993,Del Norte County
6,6017,5719.637391,El Dorado County
6,6019,2376.374287,Fresno County
6,6021,1710.78516,Glenn County
6,6023,2088.118454,Humboldt County
6,6025,1316.928829,Imperial County
6,6027,2277.449823,Inyo County
6,6029,2763.460841,Kern County
6,6031,1746.995261,Kings County
6,6033,1851.167472,Lake County
6,6035,1771.736896,Lassen County
6,6037,5252.494053,Los Angeles County
6,6039,1851.488251,Madera County
6,6041,16130.05706,Marin County
6,6043,1871.465629,Mariposa County
6,6045,2327.106227,Mendocino County
6,6047,1589.581835,Merced County
6,6049,1267.13881,Modoc County
6,6051,3115.830721,Mono County
6,6053,3478.522792,Monterey County
6,6055,6371.52161,Napa County
6,6057,4071.892451,Nevada County
6,6059,6549.716394,Orange County
6,6061,5731.619974,Placer County
6,6063,2200,Plumas County
6,6065,3002.591628,Riverside County
6,6067,3043.19019,Sacramento County
6,6069,3464.573643,San Benito County
6,6071,2431.157848,San Bernardino County
6,6073,4865.600632,San Diego County
6,6075,10968.5271,San Francisco County
6,6077,2682.007327,San Joaquin County
6,6079,4520.462927,San Luis Obispo County
6,6081,14583.48984,San Mateo County
6,6083,5429.279439,Santa Barbara County
6,6085,11949.11139,Santa Clara County
6,6087,5318.911108,Santa Cruz County
6,6089,2213.461538,Shasta County
6,6091,1995.901639,Sierra County
6,6093,1758.585313,Siskiyou County
6,6095,3230.254453,Solano County
6,6097,4575.246126,Sonoma County
6,6099,2392.260222,Stanislaus County
6,6101,2296.514048,Sutter County
6,6103,1651.674837,Tehama County
6,6105,1599.16318,Trinity County
6,6107,1863.7976,Tulare County
6,6109,2622.754491,Tuolumne County
6,6111,5178.875886,Ventura County
6,6113,4154.812612,Yolo County
6,6115,1710.106972,Yuba County
8,8001,1623.589886,Adams County
8,8003,884.6875,Alamosa County
8,8005,3177.096514,Arapahoe County
8,8007,1835.181976,Archuleta County
8,8009,400,Baca County
8,8011,418.7096774,Bent County
8,8013,4231.985246,Boulder County
8,8014,4067.048904,Broomfield County
8,8015,1533.449883,Chaffee County
8,8017,1408.139535,Cheyenne County
8,8019,3013.247863,Clear Creek County
8,8021,545.7627119,Conejos County
8,8023,488.0597015,Costilla County
8,8025,339.8230088,Crowley County
8,8027,1992.670157,Custer County
8,8029,938.2928739,Delta County
8,8031,2886.56391,Denver County
8,8033,788.6075949,Dolores County
8,8035,5353.100775,Douglas County
8,8037,3784.945055,Eagle County
8,8039,3440.821918,Elbert County
8,8041,1801.999866,El Paso County
8,8043,1008.629738,Fremont County
8,8045,2429.268293,Garfield County
8,8047,1833.712121,Gilpin County
8,8049,1997.8602,Grand County
8,8051,2001.884253,Gunnison County
8,8053,1879.487179,Hinsdale County
8,8055,831.9702602,Huerfano County
8,8057,622.7272727,Jackson County
8,8059,2946.614556,Jefferson County
8,8061,1225,Kiowa County
8,8063,1287.650602,Kit Carson County
8,8065,1014.556962,Lake County
8,8067,2298.080614,La Plata County
8,8069,2414.651778,Larimer County
8,8071,806.2711864,Las Animas County
8,8073,803.8461538,Lincoln County
8,8075,1657.869822,Logan County
8,8077,1687.613789,Mesa County
8,8079,1830.952381,Mineral County
8,8081,1330,Moffat County
8,8083,1231.862312,Montezuma County
8,8085,1224.354658,Montrose County
8,8087,888.2591093,Morgan County
8,8089,588.4718499,Otero County
8,8091,2371.729958,Ouray County
8,8093,1973,Park County
8,8095,1598.5,Phillips County
8,8097,9642.519685,Pitkin County
8,8099,696.7545639,Prowers County
8,8101,1139.326341,Pueblo County
8,8103,1430.141844,Rio Blanco County
8,8105,822.4315068,Rio Grande County
8,8107,3446.714173,Routt County
8,8109,822.4043716,Saguache County
8,8111,1332.352941,San Juan County
8,8113,4347.445255,San Miguel County
8,8115,633.6448598,Sedgwick County
8,8117,2952.729529,Summit County
8,8119,1910.498221,Teller County
8,8121,699.4974874,Washington County
8,8123,1897.57126,Weld County
8,8125,1022.072072,Yuma County
9,9001,14308.75008,Fairfield County
9,9003,5333.004082,Hartford County
9,9005,5516.109999,Litchfield County
9,9007,6126.28626,Middlesex County
9,9009,5042.497156,New Haven County
9,9011,4259.065934,New London County
9,9013,5618.972563,Tolland County
