id,abbr,state,value
1,AL,Alabama,0.304047713
2,AK,Alaska,0.115870481
4,AZ,Arizona,0.486271644
5,AR,Arkansas,1.197434789
6,CA,California,-0.12555217
8,CO,Colorado,-0.264303503
9,CT,Connecticut,0.005748337
10,DE,Delaware,-0.014317814
11,DC,District of Columbia,-0.029995589
12,FL,Florida,-0.256468724
13,GA,Georgia,1.900724854
15,HI,Hawaii,0.092312124
16,ID,Idaho,-0.088612975
17,IL,Illinois,0.126212722
18,IN,Indiana,-0.039770359
19,IA,Iowa,0.203123325
20,KS,Kansas,-0.084189214
21,KY,Kentucky,0.035227885
22,LA,Louisiana,0.057340862
23,ME,Maine,0.288641144
24,MD,Maryland,0.258928467
25,MA,Massachusetts,-0.230626767
26,MI,Michigan,0.26454072
27,MN,Minnesota,0.018552638
28,MS,Mississippi,0.452569108
29,MO,Missouri,-0.209912648
30,MT,Montana,-0.036218273
31,NE,Nebraska,0.083437816
32,NV,Nevada,0.110130383
33,NH,New Hampshire,0.154120722
34,NJ,New Jersey,0.037061279
35,NM,New Mexico,-0.04463356
36,NY,New York,-0.058235928
37,NC,North Carolina,-0.200830695
38,ND,North Dakota,0.361736334
39,OH,Ohio,-0.182676603
40,OK,Oklahoma,0.070794236
41,OR,Oregon,0.192597583
42,PA,Pennsylvania,-0.298902582
44,RI,Rhode Island,0.016366906
45,SC,South Carolina,0.278946973
46,SD,South Dakota,0.163946478
47,TN,Tennessee,0.255578378
48,TX,Texas,0.136310806
49,UT,Utah,0.159259778
50,VT,Vermont,0.105446593
51,VA,Virginia,0.331217721
53,WA,Washington,-0.032934279
54,WV,West Virginia,-0.02602768
55,WI,Wisconsin,-0.055510484
56,WY,Wyoming,-0.233896185
